Combo Ingredients,FDA Combo Products,HSA Combo Products,FDA Combo Count,HSA Combo Count,Combo/Formulation Availability,Other Country Component Coverage,Combo/Formulation Reason
clindamycin + tretinoin,VELTIN | ZIANA,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
clioquinol + nystatin,NYSTAFORM,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
cobicistat + darunavir + emtricitabine + tenofovir alafenamide,SYMTUZA,,1,0,FDA_COMBO_ONLY,missing components in HSA: cobicistat,FDA has exact combo; HSA exact combo absent; missing components in HSA: cobicistat
cobicistat + darunavir ethanolate,PREZCOBIX | PREZCOBIX PED,,2,0,FDA_COMBO_ONLY,"missing components in HSA: cobicistat, darunavir ethanolate","FDA has exact combo; HSA exact combo absent; missing components in HSA: cobicistat, darunavir ethanolate"
cobicistat + elvitegravir + emtricitabine + tenofovir alafenamide,GENVOYA,,1,0,FDA_COMBO_ONLY,"missing components in HSA: cobicistat, elvitegravir","FDA has exact combo; HSA exact combo absent; missing components in HSA: cobicistat, elvitegravir"
cobicistat + elvitegravir + emtricitabine + tenofovir disoproxil,STRIBILD,,1,0,FDA_COMBO_ONLY,"missing components in HSA: cobicistat, elvitegravir","FDA has exact combo; HSA exact combo absent; missing components in HSA: cobicistat, elvitegravir"
codeine + phenylephrine + promethazine,PHENERGAN VC W/ CODEINE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
colchicine + probenecid,COLBENEMID,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
conjugated estrogens + medroxyprogesterone,PREMPHASE (PREMARIN;CYCRIN 14/14) | PREMPHASE 14/14 | PREMPRO | PREMPRO (PREMARIN;CYCRIN),,4,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
conjugated estrogens + meprobamate,MILPREM-200 | MILPREM-400 | PMB 200 | PMB 400,,4,0,FDA_COMBO_ONLY,missing components in HSA: meprobamate,FDA has exact combo; HSA exact combo absent; missing components in HSA: meprobamate
cupric sulfate + manganese sulfate + selenious acid + zinc sulfate,MULTRYS | TRALEMENT,,2,0,FDA_COMBO_ONLY,"missing components in HSA: cupric sulfate, manganese sulfate, selenious acid","FDA has exact combo; HSA exact combo absent; missing components in HSA: cupric sulfate, manganese sulfate, selenious acid"
cyanocobalamin + cyanocobalamin co,DICOPAC KIT,,1,0,FDA_COMBO_ONLY,missing components in HSA: cyanocobalamin co,FDA has exact combo; HSA exact combo absent; missing components in HSA: cyanocobalamin co
cyanocobalamin + tannic acid + zinc acetate,DEPINAR,,1,0,FDA_COMBO_ONLY,missing components in HSA: tannic acid,FDA has exact combo; HSA exact combo absent; missing components in HSA: tannic acid
cytarabine + daunorubicin,VYXEOS,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dalfopristin + quinupristin,SYNERCID,,1,0,FDA_COMBO_ONLY,"missing components in HSA: dalfopristin, quinupristin","FDA has exact combo; HSA exact combo absent; missing components in HSA: dalfopristin, quinupristin"
dapagliflozin + metformin + saxagliptin,QTERNMET XR,,1,0,FDA_COMBO_ONLY,missing components in HSA: saxagliptin,FDA has exact combo; HSA exact combo absent; missing components in HSA: saxagliptin
dapagliflozin + saxagliptin,QTERN,,1,0,FDA_COMBO_ONLY,missing components in HSA: saxagliptin,FDA has exact combo; HSA exact combo absent; missing components in HSA: saxagliptin
daratumumab + hyaluronidase,DARZALEX FASPRO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
darunavir + ritonavir,DARUNAVIR AND RITONAVIR,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dasabuvir + ombitasvir + paritaprevir + ritonavir,VIEKIRA PAK (COPACKAGED) | VIEKIRA XR,,2,0,FDA_COMBO_ONLY,"missing components in HSA: dasabuvir, ombitasvir, paritaprevir","FDA has exact combo; HSA exact combo absent; missing components in HSA: dasabuvir, ombitasvir, paritaprevir"
deserpidine + hydrochlorothiazide,ORETICYL 25 | ORETICYL 50 | ORETICYL FORTE,,3,0,FDA_COMBO_ONLY,missing components in HSA: deserpidine,FDA has exact combo; HSA exact combo absent; missing components in HSA: deserpidine
deserpidine + methyclothiazide,ENDURONYL | ENDURONYL FORTE,,2,0,FDA_COMBO_ONLY,"missing components in HSA: deserpidine, methyclothiazide","FDA has exact combo; HSA exact combo absent; missing components in HSA: deserpidine, methyclothiazide"
deutivacaftor + tezacaftor + vanzacaftor,ALYFTREK,,1,0,FDA_COMBO_ONLY,"missing components in HSA: deutivacaftor, tezacaftor, vanzacaftor","FDA has exact combo; HSA exact combo absent; missing components in HSA: deutivacaftor, tezacaftor, vanzacaftor"
dexamethasone + lidocaine,DECADRON W/ XYLOCAINE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dexbrompheniramine + paracetamol + pseudoephedrine,DRIXORAL PLUS,,1,0,FDA_COMBO_ONLY,missing components in HSA: dexbrompheniramine,FDA has exact combo; HSA exact combo absent; missing components in HSA: dexbrompheniramine
dexbrompheniramine + pseudoephedrine,DISOPHROL | DRIXORAL,,2,0,FDA_COMBO_ONLY,missing components in HSA: dexbrompheniramine,FDA has exact combo; HSA exact combo absent; missing components in HSA: dexbrompheniramine
dexmethylphenidate + serdexmethylphenidate,AZSTARYS,,1,0,FDA_COMBO_ONLY,"missing components in HSA: dexmethylphenidate, serdexmethylphenidate","FDA has exact combo; HSA exact combo absent; missing components in HSA: dexmethylphenidate, serdexmethylphenidate"
dextromethorphan + guaifenesin + naproxen,MUCINEX 12HR COLD & FEVER MULTI-SYMPTOM,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dextromethorphan + promethazine,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dextromethorphan + quinidine,NUEDEXTA,,1,0,FDA_COMBO_ONLY,missing components in HSA: quinidine,FDA has exact combo; HSA exact combo absent; missing components in HSA: quinidine
dextropropoxyphene + paracetamol,DARVOCET | DARVOCET-N 100 | DARVOCET-N 50,,3,0,FDA_COMBO_ONLY,missing components in HSA: dextropropoxyphene,FDA has exact combo; HSA exact combo absent; missing components in HSA: dextropropoxyphene
diatrizoic acid + iodipamide,SINOGRAFIN,,1,0,FDA_COMBO_ONLY,missing components in HSA: iodipamide,FDA has exact combo; HSA exact combo absent; missing components in HSA: iodipamide
diclofenac + misoprostol,ARTHROTEC,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dienogest + estradiol,NATAZIA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dihydroergotamine + heparin + lidocaine,EMBOLEX,,1,0,FDA_COMBO_ONLY,missing components in HSA: dihydroergotamine,FDA has exact combo; HSA exact combo absent; missing components in HSA: dihydroergotamine
diltiazem + enalapril,TECZEM,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dimyristoyl lecithin + perflexane,IMAGENT,,1,0,FDA_COMBO_ONLY,"missing components in HSA: dimyristoyl lecithin, perflexane","FDA has exact combo; HSA exact combo absent; missing components in HSA: dimyristoyl lecithin, perflexane"
diphenhydramine + ibuprofen,ADVIL PM,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
diphenhydramine + naproxen,ALEVE PM,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dolutegravir + emtricitabine + tenofovir alafenamide,"DOLUTEGRAVIR, EMTRICITABINE and TENOFOVIR ALAFENAMIDE | DOLUTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE",,2,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
dolutegravir + lamivudine + tenofovir alafenamide,DOLUTEGRAVIR LAMIVUDINE TENOFOVIR ALAFENAMIDE | DOLUTEGRAVIR;LAMIVUDINE;TENOFOVIR ALAFENAMIDE,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dolutegravir + lamivudine + tenofovir disoproxil,"DOLUTEGRAVIR, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE | DOLUTEGRAVIR, LAMIVUDINE, AND TENOFOVIR DISOPROXIL FUMARATE | DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE | DOLUTEGRAVIR; TENOFOVIR DISOPROXIL FUMARATE; LAMIVUDINE",,4,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
dolutegravir + rilpivirine,JULUCA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
donepezil + memantine,NAMZARIC,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
doravirine + islatravir,IDVYNSO,,1,0,FDA_COMBO_ONLY,missing components in HSA: islatravir,FDA has exact combo; HSA exact combo absent; missing components in HSA: islatravir
doxecitine + doxribtimine,KYGEVVI,,1,0,FDA_COMBO_ONLY,"missing components in HSA: doxecitine, doxribtimine","FDA has exact combo; HSA exact combo absent; missing components in HSA: doxecitine, doxribtimine"
droperidol + fentanyl,INNOVAR,,1,0,FDA_COMBO_ONLY,missing components in HSA: droperidol,FDA has exact combo; HSA exact combo absent; missing components in HSA: droperidol
drospirenone + estetrol,NEXTSTELLIS,,1,0,FDA_COMBO_ONLY,missing components in HSA: estetrol,FDA has exact combo; HSA exact combo absent; missing components in HSA: estetrol
drospirenone + estradiol,ANGELIQ,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
drospirenone + ethinylestradiol + levomefolate,BEYAZ | SAFYRAL,,2,0,FDA_COMBO_ONLY,missing components in HSA: levomefolate,FDA has exact combo; HSA exact combo absent; missing components in HSA: levomefolate
durlobactam + sulbactam,XACDURO (COPACKAGED),,1,0,FDA_COMBO_ONLY,missing components in HSA: durlobactam,FDA has exact combo; HSA exact combo absent; missing components in HSA: durlobactam
efavirenz + emtricitabine + tenofovir alafenamide,"EFAVIRENZ, EMTRICITABINE AND TENOFOVIR ALAFENAMIDE",,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
efavirenz + emtricitabine + tenofovir disoproxil,ATRIPLA,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
efavirenz + lamivudine + stavudine,STAVUDINE; LAMIVUDINE; EFAVIRENZ,,1,0,FDA_COMBO_ONLY,missing components in HSA: stavudine,FDA has exact combo; HSA exact combo absent; missing components in HSA: stavudine
efavirenz + lamivudine + tenofovir disoproxil,"EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE | EFAVIRENZ, LAMIVUDINE, AND TENOFOVIR DISOPROXIL FUMARATE | EFAVIRENZ; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE | SYMFI | SYMFI LO",,5,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
efavirenz + lamivudine + zidovudine,LAMIVUDINE; ZIDOVUDINE | LAMIVUDINE; ZIDOVUDINE; EFAVIRENZ,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
efgartigimod alfa + hyaluronidase,VYVGART HYTRULO,,1,0,FDA_COMBO_ONLY,missing components in HSA: efgartigimod alfa,FDA has exact combo; HSA exact combo absent; missing components in HSA: efgartigimod alfa
elagolix + estradiol + norethisterone,ORIAHNN (COPACKAGED),,1,0,FDA_COMBO_ONLY,missing components in HSA: elagolix,FDA has exact combo; HSA exact combo absent; missing components in HSA: elagolix
elbasvir + grazoprevir,ZEPATIER,,1,0,FDA_COMBO_ONLY,"missing components in HSA: elbasvir, grazoprevir","FDA has exact combo; HSA exact combo absent; missing components in HSA: elbasvir, grazoprevir"
elexacaftor + ivacaftor + tezacaftor,TRIKAFTA (COPACKAGED),,1,0,FDA_COMBO_ONLY,"missing components in HSA: elexacaftor, ivacaftor, tezacaftor","FDA has exact combo; HSA exact combo absent; missing components in HSA: elexacaftor, ivacaftor, tezacaftor"
empagliflozin + linagliptin + metformin,TRIJARDY XR,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
emtricitabine + rilpivirine + tenofovir disoproxil,COMPLERA,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
enalapril + felodipine,LEXXEL,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
eprosartan + hydrochlorothiazide,TEVETEN HCT,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
ertugliflozin + metformin,SEGLUROMET,,1,0,FDA_COMBO_ONLY,missing components in HSA: ertugliflozin,FDA has exact combo; HSA exact combo absent; missing components in HSA: ertugliflozin
ertugliflozin + sitagliptin,STEGLUJAN,,1,0,FDA_COMBO_ONLY,missing components in HSA: ertugliflozin,FDA has exact combo; HSA exact combo absent; missing components in HSA: ertugliflozin
erythromycin + sulfafurazole acetyl,PEDIAZOLE,,1,0,FDA_COMBO_ONLY,missing components in HSA: sulfafurazole acetyl,FDA has exact combo; HSA exact combo absent; missing components in HSA: sulfafurazole acetyl
erythromycin estolate + sulfafurazole acetyl,ILOSONE SULFA,,1,0,FDA_COMBO_ONLY,"missing components in HSA: erythromycin estolate, sulfafurazole acetyl","FDA has exact combo; HSA exact combo absent; missing components in HSA: erythromycin estolate, sulfafurazole acetyl"
esomeprazole + naproxen,VIMOVO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
estradiol + levonorgestrel,CLIMARA PRO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
estradiol + medroxyprogesterone,LUNELLE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
estradiol + norethisterone + relugolix,MYFEMBREE,,1,0,FDA_COMBO_ONLY,missing components in HSA: relugolix,FDA has exact combo; HSA exact combo absent; missing components in HSA: relugolix
estradiol + norgestimate,PREFEST,,1,0,FDA_COMBO_ONLY,missing components in HSA: norgestimate,FDA has exact combo; HSA exact combo absent; missing components in HSA: norgestimate
estradiol + progesterone,BIJUVA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
estradiol + testosterone,DEPO-TESTADIOL,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
ethanol + glucose,ALCOHOL 5% AND DEXTROSE 5%,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
ethinylestradiol + ethynodiol,DEMULEN 1/35-21 | DEMULEN 1/35-28 | DEMULEN 1/50-21 | DEMULEN 1/50-28,,4,0,FDA_COMBO_ONLY,missing components in HSA: ethynodiol,FDA has exact combo; HSA exact combo absent; missing components in HSA: ethynodiol
ethinylestradiol + etonogestrel,NUVARING,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
ethinylestradiol + ferrous fumarate + levonorgestrel,LO/OVRAL FE,,1,0,FDA_COMBO_ONLY,missing components in HSA: ferrous fumarate,FDA has exact combo; HSA exact combo absent; missing components in HSA: ferrous fumarate
ethinylestradiol + ferrous fumarate + norethisterone,NORLESTRIN FE 1/50 | NORLESTRIN FE 2.5/50 | NORMINEST FE | NORQUEST FE,,4,0,FDA_COMBO_ONLY,missing components in HSA: ferrous fumarate,FDA has exact combo; HSA exact combo absent; missing components in HSA: ferrous fumarate
ethinylestradiol + norethisterone,BREVICON 21-DAY | BREVICON 28-DAY | ESTROSTEP 21 | ESTROSTEP FE | FEMCON FE | FEMHRT | FEMLYV | LO LOESTRIN FE | LO MINASTRIN FE | LOESTRIN 21 1.5/30 | LOESTRIN 21 1/20 | LOESTRIN 24 FE | LOESTRIN FE 1.5/30 | LOESTRIN FE 1/20 | MINASTRIN 24 FE | MODICON 21 | MODICON 28 | NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE | NORINYL 1+35 21-DAY | NORINYL 1+35 28-DAY | NORLESTRIN 21 1/50 | NORLESTRIN 21 2.5/50 | NORLESTRIN 28 1/50 | ORTHO-NOVUM 1/35-21 | ORTHO-NOVUM 1/35-28 | ORTHO-NOVUM 10/11-21 | ORTHO-NOVUM 10/11-28 | ORTHO-NOVUM 7/14-21 | ORTHO-NOVUM 7/14-28 | ORTHO-NOVUM 7/7/7-21 | ORTHO-NOVUM 7/7/7-28 | OVCON-35 | OVCON-50 | TAYTULLA | TRI-NORINYL 21-DAY | TRI-NORINYL 28-DAY,,36,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
ethinylestradiol + norgestimate,ORTHO CYCLEN-21 | ORTHO CYCLEN-28 | ORTHO TRI-CYCLEN | ORTHO TRI-CYCLEN 21 | ORTHO TRI-CYCLEN 28 | ORTHO TRI-CYCLEN LO,,6,0,FDA_COMBO_ONLY,missing components in HSA: norgestimate,FDA has exact combo; HSA exact combo absent; missing components in HSA: norgestimate
ethinylestradiol + norgestrel,LO/OVRAL | LO/OVRAL-28 | OVRAL | OVRAL-28,,4,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
ethinylestradiol + segesterone,ANNOVERA,,1,0,FDA_COMBO_ONLY,missing components in HSA: segesterone,FDA has exact combo; HSA exact combo absent; missing components in HSA: segesterone
ethynodiol + mestranol,OVULEN | OVULEN-21 | OVULEN-28,,3,0,FDA_COMBO_ONLY,"missing components in HSA: ethynodiol, mestranol","FDA has exact combo; HSA exact combo absent; missing components in HSA: ethynodiol, mestranol"
famotidine + ibuprofen,DUEXIS,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
ferrous sulfate + folic acid,FOLVRON,,1,0,FDA_COMBO_ONLY,missing components in HSA: ferrous sulfate,FDA has exact combo; HSA exact combo absent; missing components in HSA: ferrous sulfate
finasteride + tadalafil,ENTADFI,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
fish oil + medium chain triglycerides + olive oil + soybean oil,SMOFLIPID 20%,,1,0,FDA_COMBO_ONLY,"missing components in HSA: fish oil, olive oil","FDA has exact combo; HSA exact combo absent; missing components in HSA: fish oil, olive oil"
fludroxycortide + neomycin,CORDRAN N,,1,0,FDA_COMBO_ONLY,missing components in HSA: fludroxycortide,FDA has exact combo; HSA exact combo absent; missing components in HSA: fludroxycortide
fluorescein + oxybuprocaine,ALTAFLUOR BENOX | FLUORESCEIN SODIUM AND BENOXINATE HYDROCHLORIDE,,2,0,FDA_COMBO_ONLY,"missing components in HSA: fluorescein, oxybuprocaine","FDA has exact combo; HSA exact combo absent; missing components in HSA: fluorescein, oxybuprocaine"
fluorometholone + sulfacetamide,FML-S,,1,0,FDA_COMBO_ONLY,missing components in HSA: sulfacetamide,FDA has exact combo; HSA exact combo absent; missing components in HSA: sulfacetamide
fluorometholone + tobramycin,TOBRASONE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
fluoxetine + olanzapine,SYMBYAX,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
formoterol + glycopyrronium,BEVESPI AEROSPHERE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
formoterol + mometasone,DULERA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
foscarbidopa + foslevodopa,VYALEV,,1,0,FDA_COMBO_ONLY,"missing components in HSA: foscarbidopa, foslevodopa","FDA has exact combo; HSA exact combo absent; missing components in HSA: foscarbidopa, foslevodopa"
fosinopril + hydrochlorothiazide,MONOPRIL-HCT,,1,0,FDA_COMBO_ONLY,missing components in HSA: fosinopril,FDA has exact combo; HSA exact combo absent; missing components in HSA: fosinopril
gentamicin + prednisolone,PRED-G,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
glimepiride + pioglitazone,DUETACT,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
glimepiride + rosiglitazone,AVANDARYL,,1,0,FDA_COMBO_ONLY,missing components in HSA: rosiglitazone,FDA has exact combo; HSA exact combo absent; missing components in HSA: rosiglitazone
glipizide + metformin,METAGLIP,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
glucose + magnesium acetate + potassium acetate + sodium chloride,NORMOSOL-M AND DEXTROSE 5% IN PLASTIC CONTAINER | PLASMA-LYTE 56 AND DEXTROSE 5% IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + magnesium chloride + potassium chloride + potassium phosphate + sodium acetate,ISOLYTE P IN DEXTROSE 5% IN PLASTIC CONTAINER | ISOLYTE P W/ DEXTROSE 5% IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + magnesium chloride + potassium chloride + potassium phosphate + sodium chloride + sodium lactate,DEXTROSE 5% AND ELECTROLYTE NO. 48 IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + magnesium chloride + potassium chloride + potassium phosphate + sodium chloride + sodium lactate + sodium phosphate,IONOSOL B AND DEXTROSE 5% IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + magnesium chloride + potassium chloride + potassium phosphate + sodium lactate + sodium phosphate,IONOSOL MB AND DEXTROSE 5% IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + magnesium chloride + potassium chloride + sodium acetate + sodium chloride,ISOLYTE H IN DEXTROSE 5% IN PLASTIC CONTAINER | ISOLYTE H W/ DEXTROSE 5% IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + magnesium chloride + potassium chloride + sodium acetate + sodium chloride + sodium gluconate,ISOLYTE S IN DEXTROSE 5% IN PLASTIC CONTAINER | ISOLYTE S W/ DEXTROSE 5% IN PLASTIC CONTAINER | NORMOSOL-R AND DEXTROSE 5% IN PLASTIC CONTAINER | PLASMA-LYTE 148 AND DEXTROSE 5% IN PLASTIC CONTAINER,,4,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + potassium chloride + potassium lactate + sodium chloride + sodium phosphate,IONOSOL T AND DEXTROSE 5% IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,missing components in HSA: potassium lactate,FDA has exact combo; HSA exact combo absent; missing components in HSA: potassium lactate
glucose + potassium chloride + potassium phosphate + sodium acetate + sodium chloride,ISOLYTE M IN DEXTROSE 5% IN PLASTIC CONTAINER | ISOLYTE M W/ DEXTROSE 5% IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glucose + potassium chloride + potassium phosphate + sodium chloride + sodium lactate,DEXTROSE 5% AND ELECTROLYTE NO. 75 IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
glycopyrronium + neostigmine,PREVDUO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
guaifenesin + hydrocodone,FLOWTUSS | OBREDON | XTRELUS,,3,0,FDA_COMBO_ONLY,missing components in HSA: hydrocodone,FDA has exact combo; HSA exact combo absent; missing components in HSA: hydrocodone
guaifenesin + hydrocodone + pseudoephedrine,HYCOFENIX,,1,0,FDA_COMBO_ONLY,missing components in HSA: hydrocodone,FDA has exact combo; HSA exact combo absent; missing components in HSA: hydrocodone
guanethidine monosulfate + hydrochlorothiazide,ESIMIL,,1,0,FDA_COMBO_ONLY,missing components in HSA: guanethidine monosulfate,FDA has exact combo; HSA exact combo absent; missing components in HSA: guanethidine monosulfate
halobetasol + tazarotene,DUOBRII,,1,0,FDA_COMBO_ONLY,"missing components in HSA: halobetasol, tazarotene","FDA has exact combo; HSA exact combo absent; missing components in HSA: halobetasol, tazarotene"
heparin + taurolidine,DEFENCATH,,1,0,FDA_COMBO_ONLY,missing components in HSA: taurolidine,FDA has exact combo; HSA exact combo absent; missing components in HSA: taurolidine
homatropine methylbromide + hydrocodone,HYCODAN,,1,0,FDA_COMBO_ONLY,"missing components in HSA: homatropine methylbromide, hydrocodone","FDA has exact combo; HSA exact combo absent; missing components in HSA: homatropine methylbromide, hydrocodone"
hyaluronidase + nivolumab,OPDIVO QVANTIG,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
hyaluronidase + ocrelizumab,OCREVUS ZUNOVO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
hyaluronidase + pertuzumab + trastuzumab,PHESGO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
hyaluronidase + rituximab,RITUXAN HYCELA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
