Combo Ingredients,FDA Combo Products,HSA Combo Products,FDA Combo Count,HSA Combo Count,Combo/Formulation Availability,Other Country Component Coverage,Combo/Formulation Reason
amfetamine + amfetamine dexamfetamine,DYANAVEL XR | DYANAVEL XR 10 | DYANAVEL XR 15 | DYANAVEL XR 20 | DYANAVEL XR 5,,5,0,FDA_COMBO_ONLY,"missing components in HSA: amfetamine, amfetamine dexamfetamine","FDA has exact combo; HSA exact combo absent; missing components in HSA: amfetamine, amfetamine dexamfetamine"
amfetamine + dexamfetamine,ADDERALL 10 | ADDERALL 12.5 | ADDERALL 15 | ADDERALL 20 | ADDERALL 30 | ADDERALL 5 | ADDERALL 7.5 | ADDERALL XR 10 | ADDERALL XR 15 | ADDERALL XR 20 | ADDERALL XR 25 | ADDERALL XR 30 | ADDERALL XR 5 | BIPHETAMINE 12.5 | BIPHETAMINE 20 | BIPHETAMINE 7.5 | MYDAYIS,,17,0,FDA_COMBO_ONLY,"missing components in HSA: amfetamine, dexamfetamine","FDA has exact combo; HSA exact combo absent; missing components in HSA: amfetamine, dexamfetamine"
amino acids + calcium acetate + glycerin + magnesium acetate + phosphoric acid + potassium chloride + sodium acetate + sodium chloride,PROCALAMINE,,1,0,FDA_COMBO_ONLY,"missing components in HSA: amino acids, calcium acetate, phosphoric acid","FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids, calcium acetate, phosphoric acid"
amino acids + calcium chloride + glucose + glycerophosphate + magnesium sulfate + potassium chloride + sodium acetate + soybean oil,KABIVEN IN PLASTIC CONTAINER | PERIKABIVEN IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + calcium chloride + glucose + magnesium chloride + potassium chloride + potassium phosphate + sodium chloride,AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER | AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | AMINOSYN II 5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER,,4,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + calcium chloride + glucose + magnesium chloride + potassium phosphate + sodium acetate + sodium chloride,CLINIMIX E 2.75/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/20 SULFITE FREE W/ ELECT IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/15 SULFITE FREE W/ ELECT IN DEXTROSE 15% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/20 SULFITE FREE W/ ELECT IN 20% DEXTROSE W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/35 SULFITE FREE W/ ELECT IN DEXTROSE 35% W/ CALCIUM IN PLASTIC CONTAINER,,12,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + glucose,AMINOSYN 3.5% W/ DEXTROSE 25% IN PLASTIC CONTAINER | AMINOSYN 3.5% W/ DEXTROSE 5% IN PLASTIC CONTAINER | AMINOSYN 4.25% W/ DEXTROSE 25% IN PLASTIC CONTAINER | AMINOSYN II 3.5% IN DEXTROSE 25% IN PLASTIC CONTAINER | AMINOSYN II 3.5% IN DEXTROSE 5% IN PLASTIC CONTAINER | AMINOSYN II 4.25% IN DEXTROSE 10% IN PLASTIC CONTAINER | AMINOSYN II 4.25% IN DEXTROSE 20% IN PLASTIC CONTAINER | AMINOSYN II 4.25% IN DEXTROSE 25% IN PLASTIC CONTAINER | AMINOSYN II 5% IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 2.75/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 2.75/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 2.75/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 4.25/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 4.25/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 4.25/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 4.25/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 5/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 5/15 SULFITE FREE IN DEXTROSE 15% IN PLASTIC CONTAINER | CLINIMIX 5/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 5/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 5/35 SULFITE FREE IN DEXTROSE 35% IN PLASTIC CONTAINER | CLINIMIX 8/14 SULFITE FREE IN DEXTROSE 14% IN PLASTIC CONTAINER | TRAVASOL 2.75% IN DEXTROSE 10% IN PLASTIC CONTAINER | TRAVASOL 2.75% IN DEXTROSE 15% IN PLASTIC CONTAINER | TRAVASOL 2.75% IN DEXTROSE 20% IN PLASTIC CONTAINER | TRAVASOL 2.75% IN DEXTROSE 25% IN PLASTIC CONTAINER | TRAVASOL 2.75% IN DEXTROSE 5% IN PLASTIC CONTAINER | TRAVASOL 4.25% IN DEXTROSE 10% IN PLASTIC CONTAINER | TRAVASOL 4.25% IN DEXTROSE 15% IN PLASTIC CONTAINER | TRAVASOL 4.25% IN DEXTROSE 20% IN PLASTIC CONTAINER | TRAVASOL 4.25% IN DEXTROSE 25% IN PLASTIC CONTAINER | TRAVASOL 4.25% IN DEXTROSE 5% IN PLASTIC CONTAINER,,32,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + glucose + magnesium chloride + potassium acetate + potassium chloride + potassium phosphate + sodium chloride,AMINOSYN II 4.25% W/ ELECT AND ADJUSTED PHOSPHATE IN DEXTROSE 10% IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + glucose + magnesium chloride + potassium chloride + potassium phosphate + sodium chloride,AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER | AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + glucose + magnesium chloride + potassium chloride + sodium chloride + sodium phosphate,AMINOSYN II 3.5% M IN DEXTROSE 5% IN PLASTIC CONTAINER | AMINOSYN II 4.25% M IN DEXTROSE 10% IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
